,CustomerID,Age,Annual Income ($),Spending Score (1-100),Work Experience,Family Size,Gender_Female,Gender_Male,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
CustomerID,1.0,0.070700365533216,0.3284003975279825,0.018935519488303267,0.09157383070413555,0.15965525409488354,-0.004519851388235959,0.004519851388234693,-0.0074362894822051565,0.00516147504608421,-0.03519296857167968,0.03824929140875541,0.035770459968553846,-0.023180236185909583,0.006828203814049111,-0.020636929321304478,0.013761399754953461
Age,0.070700365533216,1.0,0.021377565903118848,-0.0417981972700708,-0.014319230525127898,0.0382543759770952,-0.005820961765367408,0.005820961765367328,0.0010490154565125764,-0.02434815095633701,0.06767367093837613,0.02820609940697957,-0.023884670478232117,-0.017743854659375072,-0.022233501771564336,-0.011734825656967198,-0.023248872516747614
Annual Income ($),0.3284003975279825,0.021377565903118848,1.0,0.023299404626325973,0.08913636838729595,0.09300523046537028,-0.00470139488459352,0.0047013948845932435,-0.028392145349708714,0.005444265546303997,0.0029442139002302335,-0.0006486702282818524,0.019123222524931167,0.018200080870398178,-0.007588636850227607,0.0015961337203922571,-0.01261285636182781
Spending Score (1-100),0.018935519488303267,-0.0417981972700708,0.023299404626325973,1.0,-0.028948380467307886,0.002232067214141243,0.0005275082134169512,-0.0005275082134170088,0.04079090815368499,0.009939080005294861,-0.0224079194455204,0.025776966777348382,-0.010929598299950065,-0.007219108707678882,-0.02883542863843939,-0.02082078243145991,-0.016934725844882807
Work Experience,0.09157383070413555,-0.014319230525127898,0.08913636838729595,-0.028948380467307886,1.0,0.011873022017917609,-0.020651229983298533,0.020651229983298276,0.019166956032173017,0.015230864444387916,-0.011768912336026295,-0.055930413925652435,0.010706432503422113,-0.011469258568407132,0.09108092791346377,-0.040491323106926776,0.010927397569264452
Family Size,0.15965525409488354,0.0382543759770952,0.09300523046537028,0.002232067214141243,0.011873022017917609,1.0,-0.00022780404807978876,0.00022780404807972837,-0.03872560081539072,-0.014671039918333136,-0.029835771287102183,0.022242130268888174,0.029043590376164843,0.0314372705772882,0.025126416482219308,-0.020876043830487443,-0.004179732925459323
Gender_Female,-0.004519851388235959,-0.005820961765367408,-0.00470139488459352,0.0005275082134169512,-0.020651229983298533,-0.00022780404807978876,1.0,-0.9999999999999999,0.0377306743527157,-0.024214597420687614,-0.011219944359570548,-0.018245065394890556,-0.0142786999970323,-0.013636398009040446,0.02040445806715167,0.007109365795511829,0.013092390758441578
Gender_Male,0.004519851388234693,0.005820961765367328,0.0047013948845932435,-0.0005275082134170088,0.020651229983298276,0.00022780404807972837,-0.9999999999999999,1.0,-0.03773067435271571,0.024214597420687597,0.011219944359570628,0.018245065394890465,0.014278699997032206,0.013636398009040531,-0.020404458067151673,-0.0071093657955117965,-0.013092390758441616
Profession_Artist,-0.0074362894822051565,0.0010490154565125764,-0.028392145349708714,0.04079090815368499,0.019166956032173017,-0.03872560081539072,0.0377306743527157,-0.03773067435271571,1.0,-0.19647307910136275,-0.2081864792191347,-0.24170940934477667,-0.19111432712350576,-0.2999825626864763,-0.11677657628619528,-0.18357024831092048,-0.13989624310187643
Profession_Doctor,0.00516147504608421,-0.02434815095633701,0.005444265546303997,0.009939080005294861,0.015230864444387916,-0.014671039918333136,-0.024214597420687614,0.024214597420687597,-0.19647307910136275,1.0,-0.09276702218307871,-0.10770469928041744,-0.08515974279534727,-0.13367097206145262,-0.05203515273152179,-0.08179813290990728,-0.06233717932037685
